Id,city,Longitude,Latitude
248,San Giorgio Ionico,17.378704,40.456624
249,San Giorgio La Molara,14.9200832,41.2709083
250,San Giovanni Rotondo,15.7288455,41.7069106
251,San Giuliano di Puglia,14.9627389,41.6865765
252,San Marco in Lamis,15.63985,41.713138
253,San Marco la Catola,15.005938,41.524829
254,San Martino in Pensilis,15.0111506,41.870437
255,San Marzano di San Giuseppe,17.505607,40.454425
256,San Michele Salentino,17.6335762,40.6303856
257,San Nicandro Garganico,15.5653375,41.8384462
258,San Nicola Baronia,15.199148,41.058521
259,San Pancrazio Salentino,17.8393854,40.4191334
260,San Paolo di Civitate,15.260241,41.738336
261,San Pietro Vernotico,17.998918,40.491529
262,San Pietro in Lama,18.128623,40.308426
263,San Severo,15.3776211,41.6897761
264,San Sossio Baronia,15.200548,41.071221
265,San Vito dei Normanni,17.7037516,40.6562478
266,Sanarica,18.348731,40.089123
267,Sannicandro di Bari,16.7976967,41.0005205
268,Sannicola,18.0637476,40.0943258
269,Sant'Agata di Puglia,15.380251,41.151824
270,Sant'Elia a Pianisi,14.875234,41.62043
271,Santa Cesarea Terme,18.456834,40.036323
272,Santa Croce di Magliano,14.9933783,41.7124096
273,Santeramo in Colle,16.755286,40.793027
274,Sava,17.558409,40.403424
275,Savignano Irpino,15.179246,41.228524
276,Scampitella,15.29995,41.092522
277,Scorrano,18.299629,40.091623
278,Seclì,18.1005072,40.1301258
279,Serracapriola,15.160238,41.811937
280,Sogliano Cavour,18.195226,40.148823
281,Soleto,18.2073718,40.1877075
282,Specchia,18.297631,39.93712
283,Spinazzola,16.088007,40.9691675
284,Spongano,18.365632,40.017822
285,Squinzano,18.04182,40.436528
286,Statte,17.209799,40.563225
287,Sternatia,18.225226,40.222125
288,Stornara,15.7680575,41.288625
289,Stornarella,15.7297876,41.2563799
290,Sturno,15.1113184,41.0198267
291,Supersano,18.243229,40.017721
292,Surano,18.345131,40.028322
293,Surbo,18.133422,40.396028
294,Taurisano,18.214129,39.956619
295,Taviano,18.086826,39.983519
296,Terlizzi,16.5424713,41.1302336
297,Tiggiano,18.364433,39.905819
298,Torchiarolo,18.051619,40.484029
299,Toritto,16.6797789,40.9982301
300,Torre Santa Susanna,17.735612,40.465627
301,Torremaggiore,15.292956,41.6874769
302,Torricella,17.4993924,40.3540623
303,Trani,16.4162585,41.275088
304,Trepuzzi,18.0706204,40.4054719
305,Trevico,15.233449,41.048421
306,Vallata,15.25215,41.037221
307,Tricase,18.355332,39.93042
308,Triggiano,16.9216976,41.063448
309,Trinitapoli,16.0874365,41.3588527
310,Troia,15.312347,41.363128
311,Tufara,14.9464503,41.4816752
312,Tuglie,18.098125,40.073821
313,Turi,17.021191,40.917331
314,Ugento,18.157428,39.926319
315,Uggiano la Chiesa,18.449333,40.101724
316,Ururi,15.016134,41.816536
317,Valenzano,16.885086,41.045333
318,Vallesaccarda,15.2517835,41.0627598
319,Veglie,17.965219,40.335126
320,Venosa,15.814863,40.961323
321,Vernole,18.303527,40.289527
322,Vico del Gargano,15.957554,41.898344
323,Vieste,16.1791791,41.8827595
324,Villa Castelli,17.474605,40.584527
325,Villanova del Battista,15.158747,41.120822
326,Volturara Appula,15.052239,41.496029
327,Volturino,15.124241,41.477229
328,Zapponeta,15.9565008,41.4569644
329,Zollino,18.2505893,40.206006
330,Zungoli,15.203648,41.125322
